id,name,hex6,url,lrv,r,g,b,hex6_detail,description
2007-9B,Milk Chocolate,8D7562,https://www.valspar.com/en/colors/browse-colors/lowes/brown/milk-chocolate-2007-9b,19.359,141,117,98,8D7562,
T518,Gobi Gold,CB9E61,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/gobi-gold-t518,37.933,203,158,97,CB9E61,
6005-2B,Seine,83786D,https://www.valspar.com/en/colors/browse-colors/lowes/brown/seine-6005-2b,19.441,131,120,109,83786D,
P089,Sunbaked Straw,CB9C61,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/sunbaked-straw-p089,37.395,203,156,97,CB9C61,
M159,Wild Mustard Seed,C79E5F,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/wild-mustard-seed-m159,37.562,199,158,95,C79E5F,
6006-2B,Safari Beige,857666,https://www.valspar.com/en/colors/browse-colors/lowes/brown/safari-beige-6006-2b,18.849,133,118,102,857666,
2005-9B,Zanzibar Spice,8B7161,https://www.valspar.com/en/colors/browse-colors/lowes/brown/zanzibar-spice-2005-9b,18.05,139,113,97,8B7161,
M139,Western Wear,C59C69,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/western-wear-m139,36.746,197,156,105,C59C69,
V082-3,Sweet Beige,C6937C,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/sweet-beige-v082-3,34.558,198,147,124,C6937C,
1001-9B,Thorny Brush,7F706A,https://www.valspar.com/en/colors/browse-colors/lowes/brown/thorny-brush-1001-9b,17.058,127,112,106,7F706A,
V088-4,Corky,BB9A75,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/corky-v088-4,35.128,187,154,117,BB9A75,
2003-9B,Sea Lion Brown,896B5E,https://www.valspar.com/en/colors/browse-colors/lowes/brown/sea-lion-brown-2003-9b,16.628,137,107,94,896B5E,
8004-18E,Frontier Paradise,8C6C43,https://www.valspar.com/en/colors/browse-colors/lowes/brown/frontier-paradise-8004-18e,17.0,140,108,67,8C6C43,
V147-3,Ode to Joy,AC9C82,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/ode-to-joy-v147-3,34.3,172,156,130,AC9C82,
M153,Slice of Brioche,BB9877,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/slice-of-brioche-m153,34.276,187,152,119,BB9877,
T580,Barrel-Aged,AE9C7D,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/barrel-aged-t580,34.2,174,156,125,AE9C7D,
2006-9B,Scented Candle,846B59,https://www.valspar.com/en/colors/browse-colors/lowes/brown/scented-candle-2006-9b,16.113,132,107,89,846B59,
6008-4C,Valencia Moss,806D46,https://www.valspar.com/en/colors/browse-colors/lowes/brown/valencia-moss-6008-4c,15.907,128,109,70,806D46,
V134-4,Smoky Topaz,AF9A84,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/smoky-topaz-v134-4,34.047,175,154,132,AF9A84,
V146-4,Sage the Day,A69D86,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/sage-the-day-v146-4,34.141,166,157,134,A69D86,
8004-20F,Weathered Plank,7A6F58,https://www.valspar.com/en/colors/browse-colors/lowes/brown/weathered-plank-8004-20f,16.0,122,111,88,7A6F58,
8005-8F,Groundbreaking,786C5E,https://www.valspar.com/en/colors/browse-colors/lowes/brown/groundbreaking-8005-8f,16.0,120,108,94,786C5E,
8005-10F,Gateway Arch,7A6B61,https://www.valspar.com/en/colors/browse-colors/lowes/brown/gateway-arch-8005-10f,16.0,122,107,97,7A6B61,
M148,Plush Tan,B09A7D,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/plush-tan-m148,33.95,176,154,125,B09A7D,
M105,Desert at Dusk,AE9986,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/desert-at-dusk-m105,33.437,174,153,134,AE9986,
