name,code,r,g,b,hex,brand,url
"PIZZA PIE","PPG1058-6","171","96","87","#AB6057","PPG","/color/color-families/reds/pizza-pie"
"SAHARA SUN","PPG1064-6","198","115","99","#C67363","PPG","/color/color-families/reds/sahara-sun"
"SIENNA RED","PPG1057-6","177","99","94","#B1635E","PPG","/color/color-families/reds/sienna-red"
"BERRY PICKING","PPG18-32","171","89","89","#AB5959","PPG","/color/color-families/reds/berry-picking"
"GRENADINE","PPG1051-6","172","84","94","#AC545E","PPG","/color/color-families/reds/grenadine"
"HEART'S AFIRE","PPG13-14","165","79","93","#A54F5D","PPG","/color/color-families/reds/heart-s-afire"
"HEART'S CONTENT","PPG1050-6","169","88","108","#A9586C","PPG","/color/color-families/pinks/heart-s-content"
"GERANIUM PINK","PPG1182-6","198","103","135","#C66787","PPG","/color/color-families/pinks/geranium-pink"
"FLORENTINE PINK","PPG17-09","200","110","148","#C86E94","PPG","/color/color-families/pinks/florentine-pink"
"CHERRY PINK","PPG1183-6","199","96","123","#C7607B","PPG","/color/color-families/pinks/cherry-pink"
"SALSA DIANE","PPG1186-6","187","79","92","#BB4F5C","PPG","/color/color-families/pinks/salsa-diane"
"BONFIRE","PPG1187-6","195","88","92","#C3585C","PPG","/color/color-families/pinks/bonfire"
"FIRECRACKER","PPG1190-6","194","97","87","#C26157","PPG","/color/color-families/oranges/firecracker"
"WET CORAL","PPG1189-6","209","88","76","#D1584C","PPG","/color/color-families/oranges/wet-coral"
"CANDY CORN","PPG17-16","217","98","78","#D9624E","PPG","/color/color-families/oranges/candy-corn"
"BRIQUETTE","PPG1188-6","225","95","101","#E15F65","PPG","/color/color-families/pinks/briquette"
"CRANBERRY SPLASH","PPG1185-6","218","82","101","#DA5265","PPG","/color/color-families/pinks/cranberry-splash"
"KENNY'S KISS","PPG1184-6","212","88","113","#D45871","PPG","/color/color-families/pinks/kenny-s-kiss"
"PARIS PINK","PPG1181-6","218","109","145","#DA6D91","PPG","/color/color-families/pinks/paris-pink"
"ROSE GLORY","PPG1181-5","229","133","165","#E585A5","PPG","/color/color-families/pinks/rose-glory"
"CHERRY BRANDY","PPG1184-5","226","107","129","#E26B81","PPG","/color/color-families/pinks/cherry-brandy"
"BLEEDING HEART","PPG1185-5","230","106","119","#E66A77","PPG","/color/color-families/pinks/bleeding-heart"
