hex1,hex2
F4F0E8,D4CEBF
475C62,EBE6D7
475C62,C7BDA8
EBE6D7,C7BDA8
0D6183,F6EFE1
0D6183,DCD3BC
F6EFE1,DCD3BC
5588AB,FDFAF1
5588AB,E3CBA8
FDFAF1,E3CBA8
EEDAD1,F2F0E8
EEDAD1,B9B79B
F2F0E8,B9B79B
B6C5C1,E4EBE7
B6C5C1,74857F
E4EBE7,74857F
6C6B6A,ECEBEA
6C6B6A,BFD1C9
ECEBEA,BFD1C9
5E81C1,FFFDF2
5E81C1,E5D2B0
FFFDF2,E5D2B0
9D777C,F7F6F1
9D777C,D4D0C5
F7F6F1,D4D0C5
F3EDDE,F7F6F1
F3EDDE,D5C7B3
F7F6F1,D5C7B3
EADFCE,FDFAF1
EADFCE,D5DBD5
FDFAF1,D5DBD5
EBDECC,FDFAF1
EBDECC,ADC5C9
FDFAF1,ADC5C9
CE4E35,FDFAF1
CE4E35,D6C5A9
FDFAF1,D6C5A9
8DBBD1,FDFAF1
8DBBD1,D2C6AE
FDFAF1,D2C6AE
787B54,F3F5E9
787B54,D5D8BC
F3F5E9,D5D8BC
767C9E,F6ECD6
767C9E,EAD0A9
F6ECD6,EAD0A9
5E624A,EBE6D7
5E624A,B9B297
EBE6D7,B9B297
6C5654,F4ECDB
6C5654,BCAB9C
F4ECDB,BCAB9C
E1CEAD,F9EEDC
E1CEAD,B89B6B
F9EEDC,B89B6B
707B71,F7F6F1
707B71,D2C5AE
F7F6F1,D2C5AE
F1F3F9,F7F6F1
F1F3F9,CACFDC
F7F6F1,CACFDC
B35E97,FDFAF1
B35E97,D4D0C5
FDFAF1,D4D0C5
D5AB2C,F7F6F1
D5AB2C,D2C5AE
F7F6F1,D2C5AE
B78B43,F6EBD7
B78B43,D1D2BF
F6EBD7,D1D2BF
BFA270,F3E5CB
BFA270,9E8185
F3E5CB,9E8185
FFFABD,F3F5E9
FFFABD,D5D8BC
F3F5E9,D5D8BC
F6E3D3,FFFCEC
F6E3D3,E5A5C1
FFFCEC,E5A5C1
E9E1A7,FCF7DB
E9E1A7,D2C6AE
FCF7DB,D2C6AE
745443,FFFDF2
745443,C8AE96
FFFDF2,C8AE96
B38070,F7F1E2
B38070,B1B6A3
F7F1E2,B1B6A3
FF8830,F5EFE8
FF8830,D8CFC1
F5EFE8,D8CFC1
FFFFEA,FDFAF1
FFFFEA,FFFCDB
FDFAF1,FFFCDB
EFC5B5,ECEBE5
EFC5B5,CBCDC4
ECEBE5,CBCDC4
9B7E4E,FBF1DF
9B7E4E,E5D2B0
FBF1DF,E5D2B0
D78A6C,F5EFE8
D78A6C,D8CFC1
F5EFE8,D8CFC1
5E6D6E,F0EFEB
5E6D6E,DDCB91
F0EFEB,DDCB91
8F6E4B,FCF7EB
8F6E4B,E9D3BA
FCF7EB,E9D3BA
9E6B4A,FDFAF1
9E6B4A,BFC9D0
FDFAF1,BFC9D0
BC9B4E,FDFAF1
BC9B4E,D2C6AE
FDFAF1,D2C6AE
D7AA60,FFFBEE
D7AA60,FCE5BF
FFFBEE,FCE5BF
DB9351,F1E7DB
DB9351,D5DBD5
F1E7DB,D5DBD5
FFC9D7,F4F2EA
FFC9D7,D0D2C5
F4F2EA,D0D2C5
D4BA8C,FBF1DF
D4BA8C,F3E5CB
FBF1DF,F3E5CB
705046,FFF8E3
705046,E2CCC7
FFF8E3,E2CCC7
FFC82A,FBF4E8
FFC82A,CCBEAC
FBF4E8,CCBEAC
AD8047,E5DFCD
AD8047,E2CC9C
E5DFCD,E2CC9C
CEBE9F,F1E7D5
CEBE9F,6DBAC0
F1E7D5,6DBAC0
FFE3F4,ECE5E1
FFE3F4,C5B9B4
ECE5E1,C5B9B4
8B7753,FAF3E6
8B7753,CEBE9F
FAF3E6,CEBE9F
BC8143,FFEFD6
BC8143,F5CE9F
FFEFD6,F5CE9F
EECB88,FFF9EC
EECB88,D8C7B6
FFF9EC,D8C7B6
EB5030,F4F1EB
EB5030,D4D0C5
F4F1EB,D4D0C5
FCE5BF,FFF9EC
FCE5BF,D8E4DE
FFF9EC,D8E4DE
7B5847,F5E6DE
7B5847,DDC3B7
F5E6DE,DDC3B7
B0724A,FFFDF2
B0724A,EDD2A3
FFFDF2,EDD2A3
A47C53,E6E3D6
A47C53,BCA380
E6E3D6,BCA380
784D4C,FDFAF1
784D4C,C1B4A0
FDFAF1,C1B4A0
DEB368,FDFAF1
DEB368,D8C7B6
FDFAF1,D8C7B6
CFE7CB,F4F0E3
CFE7CB,D5C7B3
F4F0E3,D5C7B3
E6D5BA,F4F0E1
E6D5BA,A5B4B6
F4F0E1,A5B4B6
FFFEE4,FFF8EE
FFFEE4,F4EAF0
FFF8EE,F4EAF0
D9A05F,FFF8E3
D9A05F,DBD4AB
FFF8E3,DBD4AB
007B90,FFFBEE
007B90,CDB9A2
FFFBEE,CDB9A2
845998,F6E5F6
845998,C0C3C4
F6E5F6,C0C3C4
93C460,F7F6F1
93C460,E5D2B0
F7F6F1,E5D2B0
9C9584,F4F1EB
9C9584,D4D0C5
F4F1EB,D4D0C5
93807F,EBE6D7
93807F,BEA781
EBE6D7,BEA781
FCBE6A,E3DAC6
FCBE6A,A7B191
E3DAC6,A7B191
959988,E5DFCD
959988,CC9469
E5DFCD,CC9469
ECE6C8,FDFAF1
ECE6C8,D4C0C5
FDFAF1,D4C0C5
E7FAFA,FDFAF1
E7FAFA,F1E7D5
FDFAF1,F1E7D5
FFE7EB,FFFDF2
FFE7EB,E2D8C3
FFFDF2,E2D8C3
F2DEBC,FFF9EC
F2DEBC,E2CCC7
FFF9EC,E2CCC7
DDCAAF,E2D8C2
DDCAAF,BA947F
E2D8C2,BA947F
7E7150,FAF3E6
7E7150,DDCDB3
FAF3E6,DDCDB3
CE5F38,FFF9EC
CE5F38,DFC6AA
FFF9EC,DFC6AA
8F9AA4,FFFBF0
8F9AA4,FAE6CA
FFFBF0,FAE6CA
E9D4A9,FDF2DB
E9D4A9,D19776
FDF2DB,D19776
E1C161,F2F0E8
E1C161,D0D1C1
F2F0E8,D0D1C1
B95B6D,FDFAF1
B95B6D,DFC6AA
FDFAF1,DFC6AA
FFF4A1,FDFAF1
FFF4A1,D8CFC1
FDFAF1,D8CFC1
FFE8C3,F4F0E3
FFE8C3,D5C7B3
F4F0E3,D5C7B3
F9EBBF,FFFDF2
F9EBBF,E2C779
FFFDF2,E2C779
FFFFE8,F7F6F1
FFFFE8,F6EFC5
F7F6F1,F6EFC5
FFF1D5,F7F6F1
FFF1D5,F6BC77
F7F6F1,F6BC77
DDC3B7,F5E6DE
DDC3B7,D04A70
F5E6DE,D04A70
F5DED1,FFFCEC
F5DED1,B5B6CE
FFFCEC,B5B6CE
91A2A6,FDFAF1
91A2A6,D6C3B9
FDFAF1,D6C3B9
B87A59,F2F0E8
B87A59,B6B5A0
F2F0E8,B6B5A0
CC8654,FFFBF0
CC8654,DDB994
FFFBF0,DDB994
BA947F,E5DFCD
BA947F,606256
E5DFCD,606256
565B58,ECEBE5
565B58,D5CDB4
ECEBE5,D5CDB4
3F9DA9,FDFAF1
3F9DA9,E5D2B0
FDFAF1,E5D2B0
CDA563,FFFBEE
CDA563,EDD2A3
FFFBEE,EDD2A3
927F76,E2D8C2
927F76,B3B5AF
E2D8C2,B3B5AF
F485AC,FFF0EA
F485AC,C2B1A1
FFF0EA,C2B1A1
006E7A,FDFAF1
006E7A,D5C6BD
FDFAF1,D5C6BD
ECEBE5,F0EFEB
ECEBE5,E3DAC6
F0EFEB,E3DAC6
BF6F31,FAECD9
BF6F31,BCC4BD
FAECD9,BCC4BD
937A62,FDFAF1
937A62,D8C7B6
FDFAF1,D8C7B6
F7F5F6,F7F6F1
F7F5F6,D5DBD5
F7F6F1,D5DBD5
EDCCB3,F7F6F1
EDCCB3,D2D8F4
F7F6F1,D2D8F4
EBDBCA,FDFAF1
EBDBCA,BBB0B1
FDFAF1,BBB0B1
6DBAC0,F4F0E3
6DBAC0,D5C7B3
F4F0E3,D5C7B3
9DA7A0,E8EBE7
9DA7A0,D5DBD5
E8EBE7,D5DBD5
A9AAAB,ECEBEA
A9AAAB,DBDBDA
ECEBEA,DBDBDA
F6FDFA,FDFAF1
F6FDFA,ABDCEE
FDFAF1,ABDCEE
859475,E3E1CC
859475,A9B49A
E3E1CC,A9B49A
86736E,F7F6F1
86736E,DBD0CE
F7F6F1,DBD0CE
515252,FDFAF1
515252,EDD2A3
FDFAF1,EDD2A3
8F684B,FCF0E5
8F684B,D5B59C
FCF0E5,D5B59C
BF6955,FBE9D8
BF6955,C5C0AC
FBE9D8,C5C0AC
DDA896,FDFAF1
DDA896,CDD0C0
FDFAF1,CDD0C0
CAE277,FFFFEF
CAE277,E2D6BD
FFFFEF,E2D6BD
E3D4B9,F4ECDB
E3D4B9,E6B4A6
F4ECDB,E6B4A6
7C503F,FFF9EC
7C503F,E0CFB5
FFF9EC,E0CFB5
515153,F0EFEB
515153,C7C7C2
F0EFEB,C7C7C2
F5E5CE,FCF7EB
F5E5CE,D0D2C5
FCF7EB,D0D2C5
817A69,F4F1EB
817A69,D4D0C5
F4F1EB,D4D0C5
E9E9E1,F7F6F1
E9E9E1,D8C7B6
F7F6F1,D8C7B6
