code,hex,collection,name,description,lrv,usage,url
DEA151,#AC3235,Perfect Palette,RED INK,,,,https://www.dunnedwards.com/colors/browser/dea151/
DEA152,#8F423D,Perfect Palette,DEEP CRIMSON,,,,https://www.dunnedwards.com/colors/browser/dea152/
DEA153,#AF413B,Perfect Palette,GLITZY RED,,,,https://www.dunnedwards.com/colors/browser/dea153/
DEA154,#A8453B,Perfect Palette,RED REVIVAL,,,,https://www.dunnedwards.com/colors/browser/dea154/
DEA155,#A14C3F,Perfect Palette,ARABIAN RED,,,,https://www.dunnedwards.com/colors/browser/dea155/
DEA156,#894C3B,Perfect Palette,CHERRY COLA,,,,https://www.dunnedwards.com/colors/browser/dea156/
DEA157,#7C503F,Perfect Palette,CELLAR DOOR,,,,https://www.dunnedwards.com/colors/browser/dea157/
DEA158,#5E463C,Perfect Palette,NORTHERN TERRITORY,"Give your space a sense of adventure with Northern Territory. This sophisticated, natural deep brown paint color that has subtle orange undertones.",,,https://www.dunnedwards.com/colors/browser/dea158/
DEA159,#745342,Perfect Palette,RICH MOCHA,Rich Mocha color is a dark brown and part of our Accents collection. Inspired by the perfect drink on a chilly day. Try Rich Mocha as an exterior accent or full body at a lakeside cabin for a punch of color that blends with the natural surrounding landscape.,,,https://www.dunnedwards.com/colors/browser/dea159/
DE6008,#F4E9EA,Perfect Palette,CRYSTAL CLEAR,,,,https://www.dunnedwards.com/colors/browser/de6008/
DE6009,#E7D9DB,Perfect Palette,BILLOWING CLOUDS,,,,https://www.dunnedwards.com/colors/browser/de6009/
DE6010,#D4C0C5,Perfect Palette,ELUSIVE VIOLET,,,,https://www.dunnedwards.com/colors/browser/de6010/
DE6011,#BAA3A9,Perfect Palette,MAGICAL MAUVE,,,,https://www.dunnedwards.com/colors/browser/de6011/
DE6012,#9E8185,Perfect Palette,PLUMVILLE,,,,https://www.dunnedwards.com/colors/browser/de6012/
DE6013,#806568,Perfect Palette,AMAZING AMETHYST,"This earthy plum paint color with a hint of red, Amazing Amethyst offers a sophisticated splendor that feels both elegant and masculine.",,,https://www.dunnedwards.com/colors/browser/de6013/
