name,code,url,family,r,g,b,
Echelon Ecru,SW7574,/en-us/color/color-family/white-paint-colors/sw7574-echelon-ecru,White,231,216,190,
Eco Green,SW6739,/en-us/color/color-family/green-paint-colors/sw6739-eco-green,Green,104,166,120,
Eggwhite,SW6364,/en-us/color/color-family/white-paint-colors/sw6364-eggwhite,White,243,229,210,
Elation,SW6827,/en-us/color/color-family/purple-paint-colors/sw6827-elation,Purple,223,220,229,
Electric Lime,SW6921,/en-us/color/color-family/green-paint-colors/sw6921-electric-lime,Green,154,186,37,
Ellie Gray,SW7650,/en-us/color/color-family/neutral-paint-colors/sw7650-ellie-gray,Neutral,170,169,164,
Embellished Blue,SW6749,/en-us/color/color-family/blue-paint-colors/sw6749-embellished-blue,Blue,215,235,226,
Emberglow,SW6627,/en-us/color/color-family/orange-paint-colors/sw6627-emberglow,Orange,214,124,86,
Emotional,SW6621,/en-us/color/color-family/orange-paint-colors/sw6621-emotional,Orange,198,95,71,
Enjoyable Yellow,SW6666,/en-us/color/color-family/yellow-paint-colors/sw6666-enjoyable-yellow,Yellow,245,214,169,
Enticing Red,SW6600,/en-us/color/color-family/red-paint-colors/sw6600-enticing-red,Red,183,78,79,
Envy,SW6925,/en-us/color/color-family/green-paint-colors/sw6925-envy,Green,53,140,63,
Eros Pink,SW6860,/en-us/color/color-family/red-paint-colors/sw6860-eros-pink,Red,200,79,104,
Espalier,SW6734,/en-us/color/color-family/green-paint-colors/sw6734-espalier,Green,47,95,58,
Euphoric Lilac,SW6835,/en-us/color/color-family/purple-paint-colors/sw6835-euphoric-lilac,Purple,218,199,218,
Evening Shadow,SW7662,/en-us/color/color-family/neutral-paint-colors/sw7662-evening-shadow,Neutral,201,204,205,
Exuberant Pink,SW6840,/en-us/color/color-family/red-paint-colors/sw6840-exuberant-pink,Red,181,77,127,
Eye Catching,SW6914,/en-us/color/color-family/yellow-paint-colors/sw6914-eye-catching,Yellow,221,184,53,
Faint Coral,SW6329,/en-us/color/color-family/orange-paint-colors/sw6329-faint-coral,Orange,238,222,213,
