name,code,rgb,hex
"Blue Clay","T15-16","107,145,148","#6b9194"
"Mocha Foam","T15-17","187,162,142","#bba28e"
"Snap Pea Green","T15-18","138,134,80","#8a8650"
"Mulberry Wine","T15-19","153,124,133","#997c85"
"Seared Gray","T15-2","73,81,87","#495157"
"Peach Preserve","T15-20","210,148,135","#d29487"
"Essential Teal","T15-3","0,115,119","#007377"
"Your Majesty","T15-4","85,62,73","#553e49"
"Heritage Oak","T15-5","92,69,61","#5c453d"
"Dreamscape Gray","T15-6","198,197,197","#c6c5c5"
"Secret Blush","T15-7","225,210,213","#e1d2d5"
"Elusive Blue","T15-8","177,199,208","#b1c7d0"
"Dandelion Tea","T15-9","247,234,193","#f7eac1"
"Black Pearl","T16-01","74,71,67","#4a4743"
"Pagoda","T16-02","193,88,119","#c15877"
"Emperor's Silk","T16-03","0,129,106","#00816a"
"Galapagos","T16-04","8,95,109","#085f6d"
"Canary Diamond","T16-05","255,206,82","#ffce52"
"Penthouse View","T16-06","202,191,179","#cabfb3"
"Coralette","T16-07","240,134,116","#f08674"
"Fifth Olive-Nue","T16-08","142,135,121","#8e8779"
"Citronne","T16-09","205,156,43","#cd9c2b"
"Blue Vortex","T16-10","61,68,87","#3d4457"
"Celadon","T16-11","186,192,184","#bac0b8"
"Modern Mint","T16-12","136,163,149","#88a395"
"Stratus","T16-13","129,147,170","#8193aa"
"Raw Copper","T16-14","196,107,81","#c46b51"
"Charcoal Plum","T16-15","106,106,111","#6a6a6f"
"Symphony Gold","T16-16","192,168,135","#c0a887"
"Ivory Keys","T16-17","243,241,231","#f3f1e7"
"Mauve Melody","T16-18","166,159,154","#a69f9a"
"Bowstring","T16-19","214,209,200","#d6d1c8"
"Opus","T16-20","115,104,94","#73685e"
"Close Knit","T17-01","213,214,207","#d5d6cf"
"Gold Hearted","T17-02","230,194,140","#e6c28c"
"Sepia Filter","T17-03","203,180,153","#cbb499"
"Peek A Blue","T17-04","197,225,225","#c5e1e1"
"Life Is A Peach","T17-05","229,205,190","#e5cdbe"
"Everything's Rosy","T17-06","216,172,160","#d8aca0"
"Balanced","T17-07","170,187,162","#aabba2"
"Polished Aqua","T17-08","166,195,190","#a6c3be"
"Laid Back Gray","T17-09","179,175,167","#b3afa7"
"Shades On","T17-10","96,95,95","#605f5f"
"Silent Sands","T17-11","169,149,130","#a99582"
"Wanderlust","T17-12","66,98,103","#426267"
"In The Woods","T17-13","114,120,111","#72786f"
"Artful Magenta","T17-14","128,80,93","#80505d"
"Jade Dragon","T17-15","106,161,147","#6aa193"
"That's My Lime","T17-16","220,210,144","#dcd290"
"Midnight Show","T17-17","84,100,115","#546473"
"Hot And Spicy","T17-18","179,85,71","#b35547"
"Fired Up","T17-19","211,122,56","#d37a38"
"Lemon Burst","T17-20","254,214,126","#fed67e"
"Positively Pink","T18-01","231,191,182","#e7bfb6"
"Civara","T18-02","197,97,56","#c56138"
"Graylac","T18-03","148,140,141","#948c8d"
"Nocturne Shade","T18-04","76,61,66","#4c3d42"
"Life Is Good","T18-05","225,155,66","#e19b42"
"Kombucha","T18-06","214,188,157","#d6bc9d"
"Road Less-Travelled","T18-07","139,123,110","#8b7b6e"
"Off The Grid","T18-08","184,174,164","#b8aea4"
"Soft Focus","T18-09","228,224,213","#e4e0d5"
"Wabi-Sabi","T18-10","200,200,181","#c8c8b5"
"Unplugged","T18-11","75,72,64","#4b4840"
"Spirit Warrior","T18-12","212,83,65","#d45341"
"Casual Day","T18-13","149,186,194","#95bac2"
"Soul Search","T18-14","55,114,144","#377290"
"Wide Sky","T18-17","65,111,175","#416faf"
"Constellation Blue","T18-18","60,70,112","#3c4670"
"Quiet Time","T18-19","184,188,184","#b8bcb8"
"Forest Berry","UL100-17","149,99,120","#956378"
"Ripe Fig","UL100-2","106,82,84","#6a5254"
"Mixed Berry Jam","UL100-21","106,70,82","#6a4652"
"Berry Wine","UL100-23","98,77,85","#624d55"
"Cranberry","UL100-4","122,55,67","#7a3743"
