source_anchor_slug,source_anchor_code,source_anchor_name,source_family,source_url,a_slug,a_code,a_name,a_rgb,a_hex,b_slug,b_code,b_name,b_rgb,b_hex
de5024,DEW-5024,Violet Kiss,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5024/,dew338,DEW-338,Trim,"rgb(253,249,239)",FDF9EF,de6345,DEW-6345,Accent,"rgb(210,213,218)",D2D5DA
de5025,DEW-5025,Fuchsia Blush,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5025/,de5025,DEW-5025,Fuchsia Blush,,E47CB8,dew340,DEW-340,Trim,"rgb(253,250,241)",FDFAF1
de5025,DEW-5025,Fuchsia Blush,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5025/,de5025,DEW-5025,Fuchsia Blush,,E47CB8,de6214,DEW-6214,Accent,"rgb(193,180,160)",C1B4A0
de5025,DEW-5025,Fuchsia Blush,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5025/,dew340,DEW-340,Trim,"rgb(253,250,241)",FDFAF1,de6214,DEW-6214,Accent,"rgb(193,180,160)",C1B4A0
de5026,DEW-5026,Crushed Berries,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5026/,de5026,DEW-5026,Crushed Berries,,D15B9B,de6029,DEW-6029,Trim,"rgb(237,226,224)",EDE2E0
de5026,DEW-5026,Crushed Berries,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5026/,de5026,DEW-5026,Crushed Berries,,D15B9B,de6031,DEW-6031,Accent,"rgb(205,189,186)",CDBDBA
de5026,DEW-5026,Crushed Berries,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5026/,de6029,DEW-6029,Trim,"rgb(237,226,224)",EDE2E0,de6031,DEW-6031,Accent,"rgb(205,189,186)",CDBDBA
de5027,DEW-5027,Razzle Dazzle,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5027/,de5027,DEW-5027,Razzle Dazzle,,BA417B,de6274,DEW-6274,Trim,"rgb(236,235,229)",ECEBE5
de5027,DEW-5027,Razzle Dazzle,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5027/,de5027,DEW-5027,Razzle Dazzle,,BA417B,de6277,DEW-6277,Accent,"rgb(175,178,167)",AFB2A7
de5027,DEW-5027,Razzle Dazzle,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5027/,de6274,DEW-6274,Trim,"rgb(236,235,229)",ECEBE5,de6277,DEW-6277,Accent,"rgb(175,178,167)",AFB2A7
de5028,DEW-5028,Fairy Wings,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5028/,de5028,DEW-5028,Fairy Wings,,FFEBF2,dew340,DEW-340,Trim,"rgb(253,250,241)",FDFAF1
de5028,DEW-5028,Fairy Wings,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5028/,de5028,DEW-5028,Fairy Wings,,FFEBF2,de6128,DEW-6128,Accent,"rgb(227,210,192)",E3D2C0
